id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
149,ANDREWS BOOSTER STATION,RN100219047,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/06/2014 
		5:15AM","09/06/2014 
                
",emissions-event
150,CLYDE COWDEN BATTERY 2,RN106564750,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		5:30PM","09/06/2014 
                
",emissions-event
151,CLYDE COWDEN SATELLITE 4,RN106503261,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		5:30PM","09/06/2014 
                
",emissions-event
152,CLYDE COWDEN BATTERY 6,RN106833478,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		5:30PM","09/06/2014 
                
",emissions-event
153,CLYDE COWDEN BATTERY 7,RN106636236,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/05/2014 
		5:30PM","09/06/2014 
                
",emissions-event
154,MCALISTER BOOSTER STATION,RN100220565,"MIDLAND, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		3:00PM","09/06/2014 
                
",emissions-event
155,BLALOCK BOOSTER STATION,RN100219617,"GARDEN CITY, GLASSCOCK",EMISSIONS EVENT,INITIAL REPORT,"09/06/2014 
		1:00PM","09/06/2014 
                
",emissions-event
156,WEST WADDELL RANCH BAT542,RN102580156,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"09/06/2014 
		12:30PM","09/08/2014 
                
",emissions-event
157,WEST WADDELL RANCH BAT 39,RN102994118,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"09/06/2014 
		12:30PM","09/08/2014 
                
",emissions-event
158,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/06/2014 
		8:10PM","09/06/2014 
                
",emissions-event
159,LONE STAR PROCESSING FACILITY,RN106476377,"TULETA, BEE",EMISSIONS EVENT,FINAL REPORT,"09/06/2014 
		6:30PM","09/06/2014 
                
",emissions-event
160,JAMESON GAS PLANT,RN101246478,"SILVER, COKE",EMISSIONS EVENT,INITIAL REPORT,09/06/2014,09/07/2014,emissions-event
161,WEIR BOOSTER STATION,RN100210699,"MCCAMEY, UPTON",EMISSIONS EVENT,INITIAL REPORT,"09/06/2014 
		5:30PM","09/06/2014 
                
",emissions-event
162,RED RIVER ARMY DEPOT,RN100224104,"TEXARKANA, BOWIE",AIR STARTUP,INITIAL REPORT,"09/07/2014 
		2:00PM","09/07/2014 
                
",air-startup
163,PASADENA REFINING SYSTEM,RN100716661,"PASADENA, HARRIS",EMISSIONS EVENT,INITIAL REPORT,"09/07/2014 
		1:58AM","09/09/2014 
                
",emissions-event
164,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,INITIAL REPORT,"09/06/2014 
		7:30PM","09/06/2014 
                
",emissions-event
165,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,INITIAL REPORT,"09/07/2014 
		3:30AM","09/07/2014 
                
",emissions-event
166,EDWARD GAS PLANT,RN107114126,"RANKIN, UPTON",AIR STARTUP,FINAL REPORT,"09/08/2014 
		3:41PM","09/10/2014 
                
",air-startup
167,R B STEWART PETROLEUM PRODUCTS,RN102470317,", BRAZORIA",EMERGENCY RESPONSE,INITIAL REPORT,"08/22/2014 
		4:00PM","08/22/2014 
                
",emergency-response
168,GOODRICH NORTH WATER SYSTEM,RN101221158,", POLK",BOIL WATER NOTICE (BWN),FINAL REPORT,09/03/2014,09/05/2014,boil-water-notice-bwn
169,GENERIC INCIDENT ZIP CODE 7735,RN104044771,"MONTGOMERY, MONTGOMERY",,INITIAL REPORT,08/31/2014,12/31/3000,none
170,TRINITY RURAL WSC 3,RN102687134,", TRINITY",BOIL WATER NOTICE (BWN),FINAL REPORT,08/28/2014,09/04/2014,boil-water-notice-bwn
171,DUPONT SABINE RIVER WORKS,RN100542711,"ORANGE, ORANGE",EMISSIONS EVENT,INITIAL REPORT,"09/07/2014 
		9:30PM","09/07/2014 
                
",emissions-event
172,JASPER ORIENTED STRANDBOARD OS,RN100215169,"JASPER, JASPER",EMISSIONS EVENT,INITIAL REPORT,"09/08/2014 
		5:18AM","09/08/2014 
                
",emissions-event
173,BARTON CREEK LAKESIDE,RN102673274,"SPICEWOOD, TRAVIS",BOIL WATER NOTICE (BWN),FINAL REPORT,08/22/2014,08/26/2014,boil-water-notice-bwn
174,TRUCK & RAIL CAR LOADING,RN102575925,"MONT BELVIEU, CHAMBERS",MAINTENANCE,INITIAL REPORT,09/22/2014,09/25/2014,maintenance
175,HEADLEE GAS PLANT,RN100218890,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/08/2014 
		10:02AM","09/08/2014 
                
",emissions-event
176,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",MAINTENANCE,INITIAL REPORT,"09/17/2014 
		7:00AM","09/17/2014 
                
",maintenance
177,MALLET CO2 RECOVERY PLANT,RN102205119,"SUNDOWN, HOCKLEY",EMISSIONS EVENT,FINAL REPORT,"09/08/2014 
		10:15AM","09/08/2014 
                
",emissions-event
190,SANDOW 5 GENERATING PLANT,RN105369805,"ROCKDALE, MILAM",EXCESS OPACITY,INITIAL REPORT,"09/07/2014 
		5:36PM","09/07/2014 
                
",excess-opacity
178,KING RANCH GAS PLANT,RN102488517,"PREMONT, KLEBERG",MAINTENANCE,INITIAL REPORT,09/12/2014,09/13/2014,maintenance
179,WEIR BOOSTER STATION,RN100210699,"MCCAMEY, UPTON",EMISSIONS EVENT,INITIAL REPORT,"09/07/2014 
		8:00PM","09/08/2014 
                
",emissions-event
180,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/08/2014 
		2:38PM","09/08/2014 
                
",emissions-event
181,SALE RANCH GAS PLANT,RN100212653,"STANTON, MARTIN",EMISSIONS EVENT,INITIAL REPORT,"09/08/2014 
		7:57AM","09/09/2014 
                
",emissions-event
182,JE PARKER TANK BATTERY,RN102565413,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/08/2014 
		5:30PM","09/08/2014 
                
",emissions-event
183,NORBORD TEXAS NACOGDOCHES,RN100543040,"NACOGDOCHES, NACOGDOCHES",MAINTENANCE,INITIAL REPORT,"09/09/2014 
		9:50AM","09/09/2014 
                
",maintenance
184,FORMOSA POINT COMFORT PLANT,RN100218973,"POINT COMFORT, CALHOUN",EMISSIONS EVENT,INITIAL REPORT,"09/08/2014 
		7:04PM","09/09/2014 
                
",emissions-event
185,GB MOTORS,RN107709800,"DALLAS, DALLAS",,INITIAL REPORT,"08/28/2014 
		3:15PM","08/28/2014 
                
",none
186,BUCKYS WHEELS AND DEALS,RN107709842,"DALLAS, DALLAS",,INITIAL REPORT,"08/21/2014 
		4:15PM","08/21/2014 
                
",none
187,NOLTEX,RN101049518,"LA PORTE, HARRIS",MAINTENANCE,INITIAL REPORT,"09/13/2014 
		4:00AM","09/15/2014 
                
",maintenance
188,GARDEN ACRES WATER SYSTEM,RN102689932,", POLK",BOIL WATER NOTICE (BWN),FINAL REPORT,09/08/2014,09/10/2014,boil-water-notice-bwn
189,LAS PLAYAS,RN101251502,", BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,09/08/2014,09/11/2014,boil-water-notice-bwn
263,LEHIGH CEMENT WACO PLANT,RN100218254,"WOODWAY, MCLENNAN",EXCESS OPACITY,INITIAL REPORT,"12/26/2012 
		7:48AM","12/26/2012 
                
",excess-opacity
194,GENERIC INCIDENT ZIP CODE 7866,RN104052139,"SAN MARCOS, HAYS",EMERGENCY RESPONSE,INITIAL REPORT,"08/26/2014 
		11:00AM","08/26/2014 
                
",emergency-response
195,PASADENA REFINING SYSTEM,RN100716661,"PASADENA, HARRIS",EMISSIONS EVENT,INITIAL REPORT,"09/08/2014 
		2:42PM","09/08/2014 
                
",emissions-event
196,WEST WADDELL RANCH BAT542,RN102580156,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"09/09/2014 
		12:30PM","09/10/2014 
                
",emissions-event
197,DOLLARHIDE GAS PLANT,RN102523578,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"09/08/2014 
		6:30PM","09/10/2014 
                
",emissions-event
198,SOUTHSIDE WASTEWATER TREATMENT,RN101612679,"HENDERSON, RUSK",FISH KILL,FINAL REPORT,"08/21/2014 
		2:00PM","08/21/2014 
                
",fish-kill
199,PFC DAVID YBARRA MIDDLE SCHOOL,RN107710691,", HIDALGO",EMERGENCY RESPONSE,INITIAL REPORT,08/05/2014,08/07/2014,emergency-response
200,WAHA GAS PLANT,RN102522539,"COYANOSA, REEVES",EMISSIONS EVENT,INITIAL REPORT,"09/09/2014 
		8:30AM","09/09/2014 
                
",emissions-event
201,GENERIC INCIDENT ZIP CODE 7970,RN104056668,"MIDLAND, MIDLAND",,INTERIM REPORT,09/08/2014,12/31/3000,none
202,LOVING COUNTY PIPELINES,RN107590135,"ORLA, LOVING",EMISSIONS EVENT,INITIAL REPORT,"09/09/2014 
		12:47PM","09/09/2014 
                
",emissions-event
203,WE HEREFORD ETHANOL FACILITY,RN105211239,"HEREFORD, DEAF SMITH",WASTEWATER BYPASS,FINAL REPORT,"05/13/2014 
		2:00PM","05/13/2014 
                
",wastewater-bypass
204,ENTERPRISE MONT BELVIEU COMPLE,RN102323268,"MONT BELVIEU, CHAMBERS",EMISSIONS EVENT,INITIAL REPORT,"09/09/2014 
		9:58AM","09/09/2014 
                
",emissions-event
205,TEXAS LEHIGH CEMENT,RN102597846,"BUDA, HAYS",EMISSIONS EVENT,INITIAL REPORT,"09/09/2014 
		8:00AM","09/09/2014 
                
",emissions-event
206,6175 COUNTY ROAD 3,RN107018293,", BRAZORIA",,INITIAL REPORT,"08/14/2014 
		1:21PM",12/31/3000,none
207,EASTMAN CHEMICAL TEXAS OPERATI,RN100219815,"LONGVIEW, HARRISON",EMISSIONS EVENT,INITIAL REPORT,"09/09/2014 
		2:15AM","09/09/2014 
                
",emissions-event
208,OILTANKING HOUSTON TERMINAL,RN100224740,"HOUSTON, HARRIS",EMISSIONS EVENT,INITIAL REPORT,"09/09/2014 
		4:00AM","09/10/2014 
                
",emissions-event
209,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",EMISSIONS EVENT,INITIAL REPORT,"09/09/2014 
		2:30PM","09/09/2014 
                
",emissions-event
210,COMPRESSOR STATION 803,RN104964879,"MT PLEASANT, TITUS",EXCESS OPACITY,INITIAL REPORT,"09/09/2014 
		8:05AM","09/09/2014 
                
",excess-opacity
211,WAHA GAS PLANT,RN100211408,"FORT STOCKTON, PECOS",MAINTENANCE,INITIAL REPORT,"09/10/2014 
		10:00AM","09/10/2014 
                
",maintenance
212,CITY OF STAMFORD,RN101392165,"STAMFORD, JONES",BOIL WATER NOTICE (BWN),FINAL REPORT,09/06/2014,12/31/3000,boil-water-notice-bwn
213,BARTON CREEK LAKESIDE,RN102673274,"SPICEWOOD, TRAVIS",BOIL WATER NOTICE (BWN),FINAL REPORT,09/07/2014,09/09/2014,boil-water-notice-bwn
214,CITY OF DENVER CITY,RN101917045,"DENVER CITY, YOAKUM",WASTEWATER BYPASS,FINAL REPORT,"09/04/2014 
		12:30PM","09/04/2014 
                
",wastewater-bypass
215,TRI COMMUNITY WSC WATER SYSTEM,RN101176816,"FENTRESS, CALDWELL",BOIL WATER NOTICE (BWN),FINAL REPORT,09/03/2014,09/05/2014,boil-water-notice-bwn
216,MALLET CO2 RECOVERY PLANT,RN102205119,"SUNDOWN, HOCKLEY",EMISSIONS EVENT,INITIAL REPORT,09/22/2014,"10/04/2014 
                
",emissions-event
217,UNION PACIFIC,RN100890052,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"09/10/2014 
		1:01AM","09/10/2014 
                
",emergency-response
218,VICTORIA COUNTY WCID 2,RN101398303,"PLACEDO, VICTORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,03/05/2014,03/07/2014,boil-water-notice-bwn
219,US DEPARTMENT OF ENERGY NATION,RN100210756,"AMARILLO, CARSON",WASTEWATER BYPASS,FINAL REPORT,"06/18/2014 
		10:00AM","06/18/2014 
                
",wastewater-bypass
220,GENERIC INCIDENT ZIP CODE 7807,RN104048632,"ZAPATA, ZAPATA",,INITIAL REPORT,09/10/2014,09/10/2014,none
221,WELCH CO2 GAS PROCESSING FACIL,RN100211960,"WELCH, DAWSON",EMISSIONS EVENT,INITIAL REPORT,"09/10/2014 
		10:33AM","09/11/2014 
                
",emissions-event
222,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,INITIAL REPORT,09/09/2014,"09/10/2014 
                
",emissions-event
223,CITY OF PAMPA LIQUID WASTE PRO,RN101608974,"PAMPA, GRAY",WASTEWATER BYPASS,FINAL REPORT,02/14/2014,02/14/2014,wastewater-bypass
224,GENERIC INCIDENT ZIP CODE 7756,RN104046388,"HITCHCOCK, GALVESTON",EMERGENCY RESPONSE,INITIAL REPORT,"09/09/2014 
		12:15PM","09/09/2014 
                
",emergency-response
225,SHERWIN ALUMINA PLANT,RN102318847,"GREGORY, SAN PATRICIO",EMISSIONS EVENT,INITIAL REPORT,"09/10/2014 
		10:34AM","09/10/2014 
                
",emissions-event
226,SHERWIN ALUMINA PLANT,RN102318847,"GREGORY, SAN PATRICIO",EMISSIONS EVENT,INITIAL REPORT,"09/10/2014 
		10:40AM","09/10/2014 
                
",emissions-event
227,GANDU 26 FRANK B BATTERY,RN106597891,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		12:00PM","09/06/2014 
                
",emissions-event
228,CACTUS WASTEWATER TREATMENT PL,RN102075173,"CACTUS, MOORE",WASTEWATER BYPASS,FINAL REPORT,"06/07/2014 
		12:13PM","06/07/2014 
                
",wastewater-bypass
229,BUM A BATTERY,RN106336712,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		12:00PM","09/06/2014 
                
",emissions-event
230,HOUSTON FUEL OIL TERMINAL,RN100223445,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"09/09/2014 
		5:00PM","09/10/2014 
                
",emergency-response
231,GENERIC INCIDENT ZIP CODE 7936,RN104055579,"SEMINOLE, GAINES",,INITIAL REPORT,09/10/2014,12/31/3000,none
232,HEADLEE GAS PLANT,RN100218890,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/10/2014 
		3:20PM","09/10/2014 
                
",emissions-event
233,WEST ANDREWS BOOSTER STATION,RN106130784,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/10/2014 
		4:00AM","09/10/2014 
                
",emissions-event
234,WEST WADDELL RANCH BAT542,RN102580156,"CRANE, CRANE",EMISSIONS EVENT,INITIAL REPORT,"09/10/2014 
		7:00PM","09/13/2014 
                
",emissions-event
235,WEST WADDELL RANCH SAT191,RN104177050,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,09/11/2014,"09/11/2014 
                
",emissions-event
236,WEST WADDELL RANCH SAT311,RN102531571,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"09/11/2014 
		7:00AM","09/11/2014 
                
",emissions-event
237,MALLET CO2 RECOVERY PLANT,RN102205119,"SUNDOWN, HOCKLEY",EMISSIONS EVENT,FINAL REPORT,"09/10/2014 
		2:45PM","09/10/2014 
                
",emissions-event
238,NORBORD TEXAS NACOGDOCHES,RN100543040,"NACOGDOCHES, NACOGDOCHES",MAINTENANCE,INITIAL REPORT,"09/11/2014 
		9:30AM","09/11/2014 
                
",maintenance
239,CARTHAGE ORIENTED STRANDBOARD ,RN100215433,"CARTHAGE, PANOLA",MAINTENANCE,INITIAL REPORT,"09/17/2014 
		7:00AM","09/17/2014 
                
",maintenance
240,CAG 480 SATELLITE BATTERY,RN103914495,"OIL AND GAS PRODUCTION, ECTOR",EMISSIONS EVENT,FINAL REPORT,"09/10/2014 
		3:30PM","09/11/2014 
                
",emissions-event
1415,COUNTY LINE SUD,RN101199370,"KYLE, HAYS",BOIL WATER NOTICE (BWN),FINAL REPORT,02/08/2013,02/13/2013,boil-water-notice-bwn
241,UNIVERSITY BLOCK9 CE TANK BATT,RN101954717,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/10/2014 
		3:00PM","09/11/2014 
                
",emissions-event
242,DRIVER GAS PLANT,RN100215102,"MIDKIFF, MIDLAND",EMISSIONS EVENT,INITIAL REPORT,"09/10/2014 
		1:17PM","09/11/2014 
                
",emissions-event
243,GENERIC INCIDENT ZIP CODE 7702,RN104042833,"HOUSTON, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"08/19/2013 
		12:45PM","08/26/2014 
                
",emergency-response
244,CITY OF SAN MARCOS WWTP,RN100838648,"SAN MARCOS, HAYS",WASTEWATER BYPASS,FINAL REPORT,"08/29/2014 
		11:30AM","08/29/2014 
                
",wastewater-bypass
245,LAKE TEJAS UNIT 1H,RN107708760,", TYLER",EMERGENCY RESPONSE,INITIAL REPORT,09/01/2014,09/01/2014,emergency-response
246,CITY OF SAN MARCOS WWTP,RN100838648,"SAN MARCOS, HAYS",WASTEWATER BYPASS,FINAL REPORT,"08/27/2014 
		7:48AM","08/27/2019 
                
",wastewater-bypass
247,FORNEY POWER PLANT,RN100213420,", KAUFMAN",MAINTENANCE,INITIAL REPORT,09/12/2014,09/14/2014,maintenance
248,GANDU SATELLITE 33,RN107712127,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
249,GANDU SATELLITE 31,RN107712135,"GOLDSMITH, ECTOR",EMISSIONS EVENT,INITIAL REPORT,"09/05/2014 
		12:45PM","09/06/2014 
                
",emissions-event
250,GENERIC INCIDENT ZIP CODE 7758,RN104046552,"SARATOGA, HARDIN",EMERGENCY RESPONSE,INITIAL REPORT,09/04/2014,09/04/2014,emergency-response
251,FOUNTAIN LAKE TOWN OWNERS WSC,RN101184281,", POLK",BOIL WATER NOTICE (BWN),FINAL REPORT,09/03/2014,09/08/2014,boil-water-notice-bwn
252,MORTON VALLEY WSC,RN101458347,"RANGER, EASTLAND",BOIL WATER NOTICE (BWN),FINAL REPORT,08/27/2014,09/03/2014,boil-water-notice-bwn
253,WILDCAT WIRELINE,RN107049330,"MIDLAND, MIDLAND",EMERGENCY RESPONSE,INITIAL REPORT,"07/05/2014 
		8:15AM","07/05/2014 
                
",emergency-response
254,GENERIC INCIDENT ZIP CODE 7564,RN104036108,"GILMER, UPSHUR",EMERGENCY RESPONSE,FINAL REPORT,"08/29/2014 
		8:55AM","08/29/2014 
                
",emergency-response
255,FULLERTON FIELD SAT 2013,RN106879232,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/11/2014 
		8:00AM","09/12/2014 
                
",emissions-event
256,FULLERTON FIELD SAT 2004,RN106877954,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/11/2014 
		7:50AM","09/12/2014 
                
",emissions-event
257,FULLERTON FIELD SAT 2005,RN106879141,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/11/2014 
		7:40AM","09/12/2014 
                
",emissions-event
258,GENERIC INCIDENT ZIP CODE 7707,RN104043344,"HOUSTON, HARRIS",,INITIAL REPORT,"09/09/2014 
		4:37PM",12/31/3000,none
259,WEST ANDREWS BOOSTER STATION,RN106130784,"ANDREWS, ANDREWS",EMISSIONS EVENT,INITIAL REPORT,"09/11/2014 
		6:47AM","09/11/2014 
                
",emissions-event
260,MONTICELLO STEAM ELECTRIC STAT,RN102285921,"MOUNT PLEASANT, TITUS",EXCESS OPACITY,INITIAL REPORT,"09/11/2014 
		12:42PM","09/11/2014 
                
",excess-opacity
261,CARTHAGE ORIENTED STRANDBOARD ,RN100215433,"CARTHAGE, PANOLA",MAINTENANCE,FINAL REPORT,"01/01/2013 
		6:30AM","01/02/2013 
                
",maintenance
262,MARATHON PETROLEUM - TEXAS CIT,RN100210608,"TEXAS CITY, GALVESTON",EMISSIONS EVENT,FINAL REPORT,"12/21/2012 
		7:45PM","12/22/2012 
                
",emissions-event
264,PITTSBURG GAS PLANT,RN100223783,"PITTSBURG, CAMP",EMISSIONS EVENT,FINAL REPORT,"12/25/2012 
		10:15PM","12/28/2012 
                
",emissions-event
265,GOLDSMITH C02 PILOT PHASE II F,RN105716047,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"12/26/2012 
		6:00AM","12/27/2012 
                
",emissions-event
266,MARTIN LAKE STEAM ELECTRIC STA,RN102583093,"TATUM, RUSK",EXCESS OPACITY,INITIAL REPORT,"12/26/2012 
		12:56PM","12/26/2012 
                
",excess-opacity
267,INVISTA SARL SABINE RIVER SITE,RN104392626,"ORANGE, ORANGE",EMISSIONS EVENT,FINAL REPORT,"12/25/2012 
		7:30PM","12/26/2012 
                
",emissions-event
268,RED RIVER ARMY DEPOT,RN100224104,"TEXARKANA, BOWIE",AIR STARTUP,FINAL REPORT,"12/26/2012 
		4:00PM","12/26/2012 
                
",air-startup
269,DOW TEXAS OPERATIONS FREEPORT,RN100225945,"FREEPORT, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"12/26/2012 
		8:30AM","12/28/2012 
                
",emissions-event
270,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"12/25/2012 
		11:22PM","12/26/2012 
                
",emissions-event
271,SNEED BOOSTER STATION,RN100220052,"DUMAS, MOORE",EMISSIONS EVENT,FINAL REPORT,"12/26/2012 
		2:10AM","12/26/2012 
                
",emissions-event
272,KIRBY INLAND MARINE,RN101043479,", HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"12/22/2012 
		8:40AM",12/31/3000,emergency-response
273,GENERIC INCIDENT ZIP CODE 7841,RN104050588,"CORPUS CHRISTI, NUECES",,INITIAL REPORT,"12/26/2012 
		5:00AM","12/26/2012 
                
",none
4859,ENTERPRISE MONT BELVIEU COMPLE,RN102323268,"MONT BELVIEU, CHAMBERS",EMISSIONS EVENT,FINAL REPORT,"07/21/2013 
		1:00AM","07/21/2013 
                
",emissions-event
274,CITGO CORPUS CHRISTI REFINERY ,RN100238799,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"12/27/2012 
		7:15AM","12/27/2012 
                
",emissions-event
275,ANCHOR DRILLING FLUIDS USA MID,RN105694723,"ODESSA, ECTOR",,INITIAL REPORT,11/30/2012,12/21/2012,none
276,GENERIC INCIDENT ZIP CODE 7602,RN104038013,"BURLESON, JOHNSON",EMERGENCY RESPONSE,INITIAL REPORT,"12/26/2012 
		4:00AM",07/29/2014,emergency-response
277,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"12/26/2012 
		2:19PM","12/26/2012 
                
",emissions-event
278,JAVELINA GAS PROCESSING FACILI,RN102190139,"CORPUS CHRISTI, NUECES",EMISSIONS EVENT,FINAL REPORT,"12/27/2012 
		7:42AM","12/27/2012 
                
",emissions-event
279,ASCEND PERFORMANCE MATERIALS C,RN100238682,"ALVIN, BRAZORIA",EMISSIONS EVENT,FINAL REPORT,"12/26/2012 
		12:42PM","12/26/2012 
                
",emissions-event
280,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"12/25/2012 
		7:00AM","12/25/2012 
                
",emissions-event
281,REINECKE CTB AND CO2 RECYCLE F,RN102792637,"GAIL, BORDEN",EMISSIONS EVENT,INITIAL REPORT,"12/25/2012 
		7:00AM","12/26/2012 
                
",emissions-event
282,KERMIT WWTP,RN105575450,", WINKLER",WASTEWATER BYPASS,INITIAL REPORT,"12/26/2012 
		9:00AM","12/26/2012 
                
",wastewater-bypass
283,CRANE BOOSTER STATION,RN100209519,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"12/26/2012 
		6:01PM","12/27/2012 
                
",emissions-event
284,BOB DERRINGTON WWP,RN101614261,"ODESSA, MIDLAND",WASTEWATER BYPASS,INITIAL REPORT,"12/26/2012 
		11:00AM","12/26/2012 
                
",wastewater-bypass
285,CITY OF JEFFERSON,RN101221471,"JEFFERSON, MARION",,INITIAL REPORT,12/27/2012,12/27/2012,none
286,GENERIC INCIDENT ZIP CODE 7596,RN104037593,"MOSCOW, POLK",EMERGENCY RESPONSE,INITIAL REPORT,12/26/2012,12/26/2012,emergency-response
287,GENERIC INCIDENT ZIP CODE 7801,RN104048194,"DILLEY, FRIO",,INITIAL REPORT,12/06/2012,12/31/3000,none
288,LCRA SAM SEYMOUR FAYETTE POWER,RN100226844,"LA GRANGE, FAYETTE",EXCESS OPACITY,INITIAL REPORT,"12/27/2012 
		8:36AM","12/27/2012 
                
",excess-opacity
289,DUKE ENERGY FIELD SERVICES PIP,RN104201512,", ECTOR",EMISSIONS EVENT,INITIAL REPORT,"12/25/2012 
		3:01PM","12/25/2012 
                
",emissions-event
290,LOVE BOOSTER,RN101964252,"TARZAN, MARTIN",EMISSIONS EVENT,INITIAL REPORT,"12/27/2012 
		6:00AM","12/27/2012 
                
",emissions-event
291,MCELROY SECTION 199 EMERGENCY ,RN102297827,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"12/27/2012 
		3:45PM","12/28/2012 
                
",emissions-event
292,JT MCELROY 202 TB,RN102303336,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"12/27/2012 
		3:45PM","12/28/2012 
                
",emissions-event
293,HUTTO BOOSTER STATION,RN102550167,"BIG SPRING, HOWARD",EMISSIONS EVENT,INITIAL REPORT,"12/26/2012 
		7:30PM","12/26/2012 
                
",emissions-event
