id,contaminant,limit,amount_released
1880,"Wastewater discharge, municipal",0,100.0 gals (est.)
1881,Sulfur dioxide,25.52 LBS/HR,681.86 lbs (est.)
1882,Gasoline,0,10.0 gals
1883,Opacity,10.0 % op,100.0 % op (est.)
1884,Opacity,10.0 % op,100.0 % op (est.)
1885,Opacity,10.0 % op,100.0 % op (est.)
1886,Diesel fuel,0,150.0 gals
1887,"Butane, N-",5000.0 lbs,745.0 lbs (est.)
1888,"Butane, i",5000.0 lbs,295.0 lbs (est.)
1889,Carbon Monoxide,5000.0 lbs,2719.0 lbs (est.)
1890,Hexanes,5000.0 lbs,175.0 lbs (est.)
1891,Hydrogen Sulfide,100.0 lbs,263.0 lbs (est.)
1892,NOX,1000.0 lbs,1362.0 lbs (est.)
1893,"Pentane, N-",5000.0 lbs,195.0 lbs (est.)
1894,Propane,5000.0 lbs,1725.0 lbs (est.)
1895,Sulfur dioxide,500.0 lbs,24778.0 lbs (est.)
1896,"pentane, iso-",5000.0 lbs,219.0 lbs (est.)
1897,Hydrogen Sulfide,0.01 TONS/YR,1.3 lbs (est.)
1898,NATURAL GAS,2.68 TONS/YR,10406.43 lbs (est.)
1899,Carbon Monoxide,5000.0 lbs,9.0 lbs (est.)
1900,Hydrogen Sulfide,100.0 lbs,9.5 lbs (est.)
1901,Nitrogen monoxide,5000.0 lbs,1.0 lbs (est.)
1902,Opacity,0,5.0 % op (est.)
1903,Sulfur dioxide,500.0 lbs,873.7 lbs (est.)
1904,Hydrogen Sulfide,0,348.6 lbs (est.)
1905,VOC,0,5935.4 lbs (est.)
1906,VOC,0,12771.1 lbs (est.)
1907,VOC,0,11839.7 lbs (est.)
1908,Carbon Monoxide,0,770.0 lbs (est.)
1909,Hydrogen Sulfide,0,17.9 lbs (est.)
1910,NATURAL GAS,0,619.0 lbs (est.)
1911,NOX,0,386.0 lbs (est.)
1912,Sulfur dioxide,0,1680.0 lbs (est.)
1913,Particulate Matter,0.22 LBS/HR,1775.0 lbs (est.)
1914,"1,3-BUTADIENE",709.48 LBS/HR,278.98 lbs (est.)
1915,Acetylene,709.48 LBS/HR,46.35 lbs (est.)
1916,Benzene,709.48 LBS/HR,721.88 lbs (est.)
1917,"Butane, N-",709.48 LBS/HR,60.58 lbs (est.)
1918,Carbon Monoxide,6627.58 LBS/HR,9365.18 lbs (est.)
1919,Cis-2-butene,709.48 LBS/HR,32.84 lbs (est.)
1920,Ethylene (gaseous),709.48 LBS/HR,4045.32 lbs (est.)
1921,Isobutane,709.48 LBS/HR,14.41 lbs (est.)
1922,Isobutylene,709.48 LBS/HR,216.56 lbs (est.)
1923,NOX,1630.75 LBS/HR,1152.01 lbs (est.)
1924,Propane,709.48 LBS/HR,138.68 lbs (est.)
1925,Propylene (Propene),709.48 LBS/HR,1216.32 lbs (est.)
1926,Trans-2-butene,709.48 LBS/HR,38.51 lbs (est.)
1927,VOC (unspeciated),709.48 LBS/HR,1003.23 lbs (est.)
1928,"1,3-BUTADIENE",709.48 LBS/HR,390.74 lbs (est.)
1929,Acetylene,709.48 LBS/HR,72.42 lbs (est.)
1930,Benzene,709.48 LBS/HR,820.38 lbs (est.)
1931,"Butane, N-",709.48 LBS/HR,85.16 lbs (est.)
1932,Carbon Monoxide,6627.58 LBS/HR,13983.87 lbs (est.)
1933,Cis-2-butene,709.48 LBS/HR,31.66 lbs (est.)
1934,Ethylene (gaseous),709.48 LBS/HR,6461.46 lbs (est.)
1935,Isobutane,709.48 LBS/HR,12.71 lbs (est.)
1936,Isobutylene,709.48 LBS/HR,319.56 lbs (est.)
1937,NOX,1630.75 LBS/HR,1823.18 lbs (est.)
1938,Opacity,0,80.0 % op (est.)
1939,Propane,709.48 LBS/HR,208.85 lbs (est.)
1940,Propylene (Propene),709.48 LBS/HR,1307.62 lbs (est.)
1941,Trans-2-butene,709.48 LBS/HR,40.39 lbs (est.)
1942,VOC (unspeciated),709.48 LBS/HR,1288.64 lbs (est.)
1943,NATURAL GAS,1.88 TONS/YR,7580.77 lbs (est.)
1944,NATURAL GAS,1.88 TONS/YR,12933.18 lbs (est.)
1945,NATURAL GAS,1.88 TONS/YR,9284.8 lbs (est.)
1946,NATURAL GAS,1.88 TONS/YR,8782.33 lbs (est.)
1947,NATURAL GAS,1.88 TONS/YR,8498.33 lbs (est.)
1948,Diesel fuel,100.0 gals,100.0 gals (est.)
1949,Opacity,45.0 % op,100.0 % op (est.)
1950,Butane,0.16 LBS/HR,65.32 lbs (est.)
1951,Carbon Monoxide,0.19 LBS/HR,264.7 lbs (est.)
1952,Hexane,0.16 LBS/HR,8.6 lbs (est.)
1953,Hydrogen Sulfide,0,11.72 lbs (est.)
1954,NOX,0.03 LBS/HR,132.59 lbs (est.)
1955,Pentane,0.16 LBS/HR,22.79 lbs (est.)
1956,Propane,0.16 LBS/HR,64.85 lbs (est.)
1957,Sulfur dioxide,0.01 LBS/HR,1079.76 lbs (est.)
1958,Oily Water,0,70.0 gals (est.)
1959,VOC,0,5817.3 lbs (est.)
1960,Carbon Monoxide,5000.0 lbs,96.0 lbs (est.)
1961,Hydrogen Sulfide,100.0 lbs,8.0 lbs (est.)
1962,Nitrogen Oxides (NOx),1000.0 lbs,48.0 lbs (est.)
1963,Sulfur dioxide,500.0 lbs,751.0 lbs (est.)
1964,VOC (light hydrocarbons),1000.0 lbs,85.0 lbs (est.)
1965,Carbon Monoxide,5000.0 lbs,115.0 lbs (est.)
1966,Hydrogen Sulfide,100.0 lbs,10.0 lbs (est.)
1967,Nitrogen Oxides (NOx),1000.0 lbs,58.0 lbs (est.)
1968,Sulfur dioxide,500.0 lbs,916.0 lbs (est.)
1969,VOC (light hydrocarbons),1000.0 lbs,92.0 lbs (est.)
1970,Carbon Monoxide,5000.0 lbs,79.0 lbs (est.)
1971,Hydrogen Sulfide,100.0 lbs,7.0 lbs (est.)
1972,Nitrogen Oxides (NOx),100.0 lbs,40.0 lbs (est.)
1973,Sulfur dioxide,500.0 lbs,657.0 lbs (est.)
1974,VOC (light hydrocarbons),1000.0 lbs,58.0 lbs (est.)
1975,Carbon Monoxide,5000.0 lbs,149.0 lbs (est.)
1976,Hydrogen Sulfide,100.0 lbs,16.0 lbs (est.)
1977,Nitrogen Oxides (NOx),1000.0 lbs,74.0 lbs (est.)
1978,Sulfur dioxide,500.0 lbs,1497.0 lbs (est.)
1979,VOC (light hydrocarbons),1000.0 lbs,110.0 lbs (est.)
1980,Carbon Monoxide,5000.0 lbs,87.0 lbs (est.)
1981,Hydrogen Sulfide,100.0 lbs,9.0 lbs (est.)
1982,Nitrogen Oxides (NOx),1000.0 lbs,44.0 lbs (est.)
1983,Sulfur dioxide,500.0 lbs,792.0 lbs (est.)
1984,VOC (light hydrocarbons),1000.0 lbs,52.0 lbs (est.)
1985,Carbon Monoxide,5000.0 lbs,111.0 lbs (est.)
1986,Hydrogen Sulfide,100.0 lbs,6.0 lbs (est.)
1987,Nitrogen Oxides (NOx),1000.0 lbs,56.0 lbs (est.)
1988,Sulfur dioxide,500.0 lbs,596.0 lbs (est.)
1989,VOC (light hydrocarbons),1000.0 lbs,71.0 lbs (est.)
1990,Carbon Monoxide,5000.0 lbs,83.0 lbs (est.)
1991,Hydrogen Sulfide,100.0 lbs,19.0 lbs (est.)
1992,Nitrogen Oxides (NOx),1000.0 lbs,42.0 lbs (est.)
1993,Sulfur dioxide,500.0 lbs,1719.0 lbs (est.)
1994,VOC (light hydrocarbons),1000.0 lbs,101.0 lbs (est.)
1995,Carbon Monoxide,5000.0 lbs,54.0 lbs (est.)
1996,Hydrogen Sulfide,100.0 lbs,11.0 lbs (est.)
1997,Nitrogen Oxides (NOx),1000.0 lbs,27.0 lbs (est.)
1998,Sulfur dioxide,500.0 lbs,1046.0 lbs (est.)
1999,VOC (light hydrocarbons),1000.0 lbs,34.0 lbs (est.)
2000,Carbon Monoxide,5000.0 lbs,33.0 lbs (est.)
2001,Hydrogen Sulfide,100.0 lbs,11.0 lbs (est.)
2002,Nitrogen Oxides (NOx),1000.0 lbs,17.0 lbs (est.)
2003,Sulfur dioxide,500.0 lbs,1032.0 lbs (est.)
2004,VOC (light hydrocarbons),1000.0 lbs,46.0 lbs (est.)
2005,Benzene,0,766.0 lbs (est.)
2006,Toluene,0,113.2 lbs (est.)
2007,VOCs,0,208.8 lbs (est.)
2008,Opacity,30.0 % op,1.9 % op (est.)
2009,Opacity,30.0 % op,0.01 % op (est.)
2010,Opacity,30.0 % op,0.01 % op (est.)
2011,Opacity,20.0 % op,1.7 % op (est.)
2012,Opacity,20.0 % op,10.2 % op (est.)
2013,Carbon Monoxide,5000.0 lbs,2625.0 lbs (est.)
2014,Hydrogen Sulfide,100.0 lbs,89.0 lbs (est.)
2015,Nitrogen Oxides (NOx),1000.0 lbs,1315.0 lbs (est.)
2016,Sulfur dioxide,500.0 lbs,8250.0 lbs (est.)
2017,VOC (light hydrocarbons),1000.0 lbs,3293.0 lbs (est.)
2018,"2,2,4-Trimethylpentane",0,10.0 lbs (est.)
2019,Benzene,0,12.3 lbs (est.)
2020,"Butane, N-",0,5603.0 lbs (est.)
14350,Sewage,0,6000.0 gals (est.)
2021,"Butane, i",0,2303.0 lbs (est.)
2022,Carbon Dioxide,0,319.0 lbs (est.)
2023,Ethane,0,5917.0 lbs (est.)
2024,Ethylbenzene,0,0.6 lbs (est.)
2025,Hexane Plus,0,1454.0 lbs (est.)
2026,Methane,0,6102.0 lbs (est.)
2027,"Pentane, N-",0,1238.0 lbs (est.)
2028,"Propane, N-",0,10359.0 lbs (est.)
2029,Toluene,0,11.1 lbs (est.)
2030,Xylene (mixed isomers),0,2.3 lbs (est.)
2031,"pentane, iso-",0,1397.0 lbs (est.)
2032,"1,3-BUTADIENE",96.1 LBS/HR,531.0 lbs (est.)
2033,1-Butene,96.1 LBS/HR,81.0 lbs (est.)
2034,Acetylene,96.1 LBS/HR,61.0 lbs (est.)
2035,Benzene,96.1 LBS/HR,428.0 lbs (est.)
2036,"Butane, N-",96.1 LBS/HR,65.0 lbs (est.)
2037,Carbon Monoxide,542.0 LBS/HR,12208.0 lbs (est.)
2038,Cis-2-butene,96.1 LBS/HR,23.0 lbs (est.)
2039,Ethane,96.1 LBS/HR,4200.0 lbs (est.)
2040,Ethylene (gaseous),96.1 LBS/HR,8431.0 lbs (est.)
2041,Isobutane,96.1 LBS/HR,107.0 lbs (est.)
2042,Methane,96.1 LBS/HR,1344.0 lbs (est.)
2043,Nitrogen Oxides,447.0 LBS/HR,1700.0 lbs (est.)
2044,Opacity,100.0 % op,50.0 % op (est.)
2045,Propane,96.1 LBS/HR,1120.0 lbs (est.)
2046,Propylene,96.1 LBS/HR,661.0 lbs (est.)
2047,Styrene,96.1 LBS/HR,60.0 lbs (est.)
2048,Toluene,96.1 LBS/HR,956.0 lbs (est.)
2049,Trans-2-butene,96.1 LBS/HR,59.0 lbs (est.)
2050,Sulfuric acid,0,1900.0 lbs
2051,Unknown or other oil,0,Unknown
2052,Opacity,20.0 % op,100.0 % op (est.)
2053,Hydrogen Sulfide,0.01 TONS/YR,0.71 lbs (est.)
2054,NATURAL GAS,2.68 TONS/YR,5705.84 lbs (est.)
2055,Carbon Monoxide,5000.0 lbs,14.0 lbs (est.)
2056,Hydrogen Sulfide,100.0 lbs,15.1 lbs (est.)
2057,Nitrogen monoxide,5000.0 lbs,2.0 lbs (est.)
2058,Opacity,0,5.0 % op (est.)
2059,Sulfur dioxide,500.0 lbs,1389.2 lbs (est.)
2060,Opacity,20.0 % op,46.3 % op (est.)
2061,Opacity,10.0 % op,3.2 % op (est.)
2062,Opacity,20.0 % op,26.9 % op (est.)
2063,Carbon Monoxide,0,229.0 lbs (est.)
2064,Hydrogen Sulfide,0,10.8 lbs (est.)
2065,Nitrogen dioxide,0,28.7 lbs (est.)
2066,Nitrogen oxide,0,86.0 lbs (est.)
2067,Sulfur dioxide,0,1016.9 lbs (est.)
2068,VOC GAS MIXTURE,0,291.6 lbs (est.)
2069,Gas Oil,0,5.0 gals (est.)
2070,Carbon Monoxide,99.24 LBS/HR,536.69 lbs (est.)
2071,Ethane,0,513.3 lbs (est.)
2072,Nitrogen oxide,64.89 LBS/HR,344.93 lbs (est.)
2073,Benzene,0,0.0001 lbs (est.)
2074,"Butane, N-",0,0.0001 lbs (est.)
2075,Carbon Dioxide,0,0.0001 lbs (est.)
2076,Carbon Monoxide,0,0.0001 lbs (est.)
2077,Ethane,0,0.0001 lbs (est.)
2078,Hexane,0,0.0001 lbs (est.)
2079,Isobutane,0,0.0001 lbs (est.)
2080,Isopentane,0,0.0001 lbs (est.)
2081,Methane,0,0.0001 lbs (est.)
2082,Nitrogen dioxide,0,0.0001 lbs (est.)
2083,Nitrogen monoxide,0,0.0001 lbs (est.)
2084,Opacity,0,0.0001 % op (est.)
2085,Pentane,0,0.0001 lbs (est.)
2086,Propane,0,0.0001 lbs (est.)
2087,Toluene,0,0.0001 lbs (est.)
2088,Benzene,0,10.1 lbs (est.)
2089,"Butane, N-",0,48.2 lbs (est.)
2090,"Butane, i",0,13.1 lbs (est.)
2091,Ethylbenzene,0,0.2 lbs (est.)
2092,HEPTANE (OR N-),0,12.1 lbs (est.)
2093,Hexane,0,19.9 lbs (est.)
2094,Nonane,0,0.7 lbs (est.)
2095,Octane,0,3.3 lbs (est.)
2096,Pentane,0,17.4 lbs (est.)
2097,Pentanes,0,12.3 lbs (est.)
2098,Propane,0,181.5 lbs (est.)
2099,Toluene,0,4.2 lbs (est.)
2100,Xylene,0,0.3 lbs (est.)
2101,Carbon Monoxide,0.48 TONS/YR,986.43 lbs (est.)
2102,Hydrogen Sulfide,0,840.27 lbs (est.)
2103,NATURAL GAS,0.08 TONS/YR,7.42 lbs (est.)
2104,Nitrogen Oxides,0.06 TONS/YR,115.05 lbs (est.)
2105,Sulfur dioxide,0.04 TONS/YR,77395.9 lbs (est.)
2106,Carbon Monoxide,0,1365.77 lbs (est.)
2107,Hydrogen Sulfide,0,12.41 lbs (est.)
2108,NATURAL GAS,0,985.97 lbs (est.)
2109,Nitrogen Oxides,0,384.12 lbs (est.)
2110,Nitrogen dioxide,0,34.21 lbs
2111,Nitrogen oxide,0,649.92 lbs
2112,Sulfur dioxide,0,1142.61 lbs (est.)
2113,Carbon Monoxide,2246.8 lbs,80.49 lbs (est.)
2114,Hydrogen Sulfide,128.33 lbs,397.15 lbs (est.)
2115,NATURAL GAS,2.46 lbs,2.28 lbs (est.)
2116,Nitrogen Oxides,42.23 lbs,20.21 lbs (est.)
2117,Sulfur dioxide,24150.64 lbs,36581.3 lbs (est.)
2118,Benzene,0,0.0001 lbs (est.)
2119,"Butane, N-",0,6.19 lbs (est.)
2120,Carbon Dioxide,0,54.023 lbs (est.)
2121,Carbon Monoxide,0,1093.678 lbs (est.)
2122,Ethane,0,1573.787 lbs (est.)
2123,Hexane,0,0.0001 lbs (est.)
2124,Isobutane,0,8.842 lbs (est.)
2125,Isopentane,0,3.016 lbs (est.)
2126,Methane,0,2031.863 lbs (est.)
2127,Nitrogen dioxide,0,26.022 lbs (est.)
2128,Nitrogen monoxide,0,520.44 lbs (est.)
2129,Opacity,0,100.0 % op (est.)
2130,Pentane,0,0.0001 lbs (est.)
2131,Propane,0,37.455 lbs (est.)
2132,Toluene,0,0.0001 lbs (est.)
2133,Biolys,0,50.0 gals
2134,Hydrogen Sulfide,0.01 TONS/YR,1.59 lbs (est.)
2135,NATURAL GAS,2.68 TONS/YR,12744.98 lbs (est.)
2136,CO,250.0 TONS/YR,3410.0 lbs (est.)
2137,NATURAL GAS,25.0 TONS/YR,14325.0 lbs (est.)
2138,NOX,250.0 TONS/YR,1708.0 lbs (est.)
2139,"Propane, N-",25.0 TONS/YR,7242.0 lbs (est.)
2140,Ethylene (liquid),0,2350.0 lbs (est.)
2141,Industrial waste,0,Unknown
2142,Unknown or other oil,0,Unknown
2143,Ammonia,4.02 LBS/HR,96.5 lbs (est.)
2144,Ethylene (gaseous),19.26 lbs,224.0 lbs (est.)
2145,Carbon Monoxide,8.9 LBS/HR,21.2 lbs (est.)
2146,Ethylene (gaseous),17.5 LBS/HR,27.2 lbs (est.)
2147,NOx (Startup/Shutdown),1.23 LBS/HR,4.0 lbs (est.)
2148,Benzene,0,50.8 lbs (est.)
2149,"Butane, N-",0,243.8 lbs (est.)
2150,"Butane, i",0,66.0 lbs (est.)
2151,Ethylbenzene,0,0.9 lbs (est.)
2152,HEPTANE (OR N-),0,61.0 lbs (est.)
2153,Hexane,0,100.8 lbs (est.)
2154,Nonane,0,3.3 lbs (est.)
2155,Octane,0,16.5 lbs (est.)
2156,Pentane,0,87.8 lbs (est.)
2157,Pentanes,0,62.3 lbs (est.)
2158,Propane,0,918.2 lbs (est.)
2159,Toluene,0,21.2 lbs (est.)
2160,Xylene,0,1.4 lbs (est.)
2161,"1,3-BUTADIENE",96.1 LBS/HR,1451.0 lbs (est.)
2162,1-Butene,96.1 LBS/HR,335.0 lbs (est.)
2163,Acetylene,96.1 LBS/HR,176.0 lbs (est.)
2164,Benzene,96.1 LBS/HR,971.0 lbs (est.)
2165,"Butane, N-",96.1 LBS/HR,192.0 lbs (est.)
2166,Carbon Monoxide,542.0 LBS/HR,49571.0 lbs (est.)
2167,Cis-2-butene,96.1 LBS/HR,76.0 lbs (est.)
2168,Ethane,96.1 LBS/HR,10048.0 lbs (est.)
2169,Ethylene (gaseous),96.1 LBS/HR,32309.0 lbs (est.)
2170,Isobutane,96.1 LBS/HR,409.0 lbs (est.)
2171,Methane,96.1 LBS/HR,13459.0 lbs (est.)
2172,Nitrogen Oxides,447.0 LBS/HR,7679.0 lbs (est.)
2173,Propane,96.1 LBS/HR,2297.0 lbs (est.)
2174,Propylene,96.1 LBS/HR,4130.0 lbs (est.)
2175,Styrene,96.1 LBS/HR,202.0 lbs (est.)
2176,Toluene,96.1 LBS/HR,3235.0 lbs (est.)
2177,Trans-2-butene,96.1 LBS/HR,196.0 lbs (est.)
2178,NATURAL GAS,0,10461.41 lbs (est.)
2179,NATURAL GAS,0,17876.79 lbs (est.)
2180,Propane,0,43565.87 lbs (est.)
2181,Carbon Monoxide,0,16.59 lbs (est.)
2182,Catalyst fines,186.08 lbs,11.07 lbs (est.)
2183,Opacity,20.0 % op,72.66 % op (est.)
2184,Ammonia,700.0 LBS/HR,20.75 lbs (est.)
2185,Carbon Monoxide,646.55 LBS/HR,83.88 lbs (est.)
2186,Nitrogen Oxides (NOx),97.28 LBS/HR,198.47 lbs (est.)
2187,Opacity,15.0 % op,88.66 % op (est.)
2188,Particulate Matter,1.98 LBS/HR,0.34 lbs (est.)
2189,Sulfur dioxide,1768.8 LBS/HR,66.96 lbs (est.)
2190,Sulfuric acid,12.4 LBS/HR,8.8 lbs (est.)
2191,VOC,3671.97 LBS/HR,20.55 lbs (est.)
2192,"Butane, N-",5000.0 lbs,21.0 lbs (est.)
2193,"Butane, i",5000.0 lbs,8.0 lbs (est.)
14351,Sewage,0,200.0 gals (est.)
2194,Carbon Monoxide,5000.0 lbs,77.0 lbs (est.)
2195,Hexanes,5000.0 lbs,5.0 lbs (est.)
2196,Hydrogen Sulfide,100.0 lbs,7.0 lbs (est.)
2197,NOX,1000.0 lbs,38.0 lbs (est.)
2198,"Pentane, N-",5000.0 lbs,6.0 lbs (est.)
2199,Propane,5000.0 lbs,49.0 lbs (est.)
2200,Sulfur dioxide,500.0 lbs,700.0 lbs (est.)
2201,"pentane, iso-",5000.0 lbs,6.0 lbs (est.)
2202,Carbon Monoxide,1256.63 lbs,883.13 lbs (est.)
2203,Opacity,20.0 % op,18.24 % op (est.)
2204,1-Butene,0,0.51 lbs (est.)
2205,Benzene,0,0.03 lbs (est.)
2206,Carbon Monoxide,0,7.63 lbs (est.)
2207,Cis-2-butene,0,0.13 lbs (est.)
2208,"Ethylene, gaseous",0,0.39 lbs (est.)
2209,Hydrogen Sulfide,0,0.0003 lbs (est.)
2210,Isobutane,0,1.42 lbs (est.)
2211,Nitrogen Oxides,0,1.5 lbs (est.)
2212,Pentanes,0,1.45 lbs (est.)
2213,Propane,0,2.61 lbs (est.)
2214,Propylene,0,2.02 lbs (est.)
2215,Sulfur dioxide,0,0.03 lbs (est.)
2216,Trans-2-butene,0,0.21 lbs (est.)
2217,n-butane,0,0.92 lbs (est.)
2218,1-Butene,0,2.26 lbs (est.)
2219,Benzene,0,0.4 lbs (est.)
2220,"Butane, N-",0,4.75 lbs (est.)
2221,Carbon Monoxide,0,43.18 lbs (est.)
2222,Cis-2-butene,0,0.58 lbs (est.)
2223,"Ethylene, gaseous",0,0.08 lbs (est.)
2224,Hydrogen Sulfide,0,0.001 lbs (est.)
2225,Isobutane,0,6.46 lbs (est.)
2226,Nitrogen Oxides,0,8.48 lbs (est.)
2227,Pentane,0,14.21 lbs (est.)
2228,Propane,0,12.62 lbs (est.)
2229,Propylene (Propene),0,9.25 lbs (est.)
2230,Sulfur dioxide,0,0.11 lbs (est.)
2231,Trans-butene-2,0,0.89 lbs (est.)
2232,"1,3-BUTADIENE",0,2.64 lbs (est.)
2233,1-Butene,0,102.59 lbs (est.)
2234,Benzene,0,6.25 lbs (est.)
2235,"Butane, N-",0,45.86 lbs (est.)
2236,Carbon Monoxide,0,495.91 lbs (est.)
2237,Cis-2-butene,0,42.81 lbs (est.)
2238,"Ethylene, gaseous",0,38.22 lbs (est.)
2239,Hydrogen Sulfide,0,0.24 lbs (est.)
2240,Isobutane,0,158.52 lbs (est.)
2241,Nitrogen Oxides,0,97.32 lbs (est.)
2242,Pentane,0,330.48 lbs (est.)
2243,Propane,0,57.31 lbs (est.)
2244,Propylene (Propene),0,135.56 lbs (est.)
2245,Sulfur dioxide,0,22.8 lbs (est.)
2246,Trans-butene-2,0,57.35 lbs (est.)
2247,CO,0.16 LBS/HR,128.96 lbs (est.)
2248,NATURAL GAS,0.01 LBS/HR,63.71 lbs (est.)
2249,NOX,0.03 LBS/HR,15.04 lbs (est.)
2250,Nitrogen dioxide,0,0.75 lbs (est.)
2251,Nitrogen oxide,0,14.25 lbs (est.)
2252,Benzene,10.0 lbs,13.98168 lbs (est.)
2253,Benzene,10.0 lbs,0.67659 lbs (est.)
2254,Diesel fuel,25.0 gals,150.0 gals (est.)
2255,Opacity,20.0 % op,90.0 % op (est.)
2256,Diesel fuel,25.0 gals,50.0 gals (est.)
2257,Hydrogen Sulfide,0,698.5 lbs (est.)
2258,VOC,0,11892.6 lbs (est.)
2259,Opacity,20.0 % op,88.0 % op (est.)
2260,Carbon Monoxide,0,1460.0 lbs (est.)
2261,Hydrogen Sulfide,0,33.9 lbs (est.)
2262,NATURAL GAS,0,1170.0 lbs (est.)
2263,NOX,0,731.0 lbs (est.)
2264,Sulfur dioxide,0,3180.0 lbs (est.)
2265,Smoke,0,5.0 % op (est.)
2266,Butane,0,24.0 lbs (est.)
2267,Carbon Monoxide,0,66.0 lbs (est.)
2268,Hexane,0,15.0 lbs (est.)
2269,Hydrogen Sulfide,0,6.0 lbs (est.)
2270,Oxides of Nitrogen (NOx),0,33.0 lbs (est.)
2271,Pentane,0,14.0 lbs (est.)
2272,Propane,0,36.0 lbs (est.)
2273,Sulfur dioxide,0,550.0 lbs (est.)
2274,"1,3-BUTADIENE",0,0.04 lbs (est.)
2275,3 methyl hexane,0,0.21 lbs (est.)
2276,Benzene,0,3.29 lbs (est.)
2277,Cyclohexane,0,1.23 lbs (est.)
2278,Ethylbenzene,0,0.28 lbs (est.)
2279,Ethylene (gaseous),0,0.27 lbs (est.)
2280,"Heptane,-n",0,0.3 lbs (est.)
2281,Hexane,0,0.4 lbs (est.)
2282,Isoheptane,0,0.2 lbs (est.)
2283,Isohexane,0,0.2 lbs (est.)
2284,Isopentane,0,0.23 lbs (est.)
2285,Methylcyclohexane,0,0.27 lbs (est.)
2286,Methylcyclopentane,0,0.22 lbs (est.)
2287,Pentane,0,0.33 lbs (est.)
2288,Toluene,0,0.82 lbs (est.)
2289,VOCs,0,1.46 lbs (est.)
2290,Xylenes,0,0.22 lbs (est.)
2291,"1,3-BUTADIENE",0,31352.0 lbs (est.)
2292,Acetylene,0,50.0 lbs (est.)
2293,"Butadiene, 1-3",0,33.0 lbs (est.)
2294,CO,0.49 TONS/YR,172.51 lbs (est.)
2295,Hydrogen Sulfide,0.45 TONS/YR,0.89 lbs (est.)
2296,NOX,0.5 TONS/YR,86.41 lbs (est.)
2297,Sulfur dioxide,0,83.83 lbs (est.)
2298,VOCs,12.28 TONS/YR,178.64 lbs (est.)
2299,Carbon Monoxide,0,141.61 lbs (est.)
2300,Hydrogen Sulfide,0,16.25 lbs (est.)
2301,NATURAL GAS,0,163.4 lbs (est.)
2302,Nitrogen oxide,0,70.93 lbs (est.)
2303,Sulfur dioxide,0,1527.01 lbs (est.)
2304,Carbon Monoxide,0,58.0 lbs (est.)
2305,Hydrogen Sulfide,0,11.0 lbs (est.)
2306,NOX,0,29.0 lbs (est.)
2307,Non-Methane Non-Ethane Natural Gas,0,68.0 lbs (est.)
2308,Sulfur dioxide,0,1028.0 lbs (est.)
2309,NATURAL GAS,1.21 TONS/YR,13147.18 lbs (est.)
2310,Catalyst fines,186.08 lbs,22.68 lbs (est.)
2311,Opacity,20.0 % op,99.8 % op (est.)
2312,"Butane, N-",5000.0 lbs,1.0 lbs (est.)
2313,"Butane, i",5000.0 lbs,1.0 lbs (est.)
2314,Carbon Monoxide,5000.0 lbs,1.0 lbs (est.)
2315,Hexanes,5000.0 lbs,1.0 lbs (est.)
2316,Hydrogen Sulfide,100.0 lbs,1.0 lbs (est.)
2317,NOX,1000.0 lbs,1.0 lbs (est.)
2318,"Pentane, N-",5000.0 lbs,1.0 lbs (est.)
2319,Propane,5000.0 lbs,1.0 lbs (est.)
2320,Sulfur dioxide,500.0 lbs,1.0 lbs (est.)
2321,"pentane, iso-",5000.0 lbs,1.0 lbs (est.)
2322,Carbon Monoxide,0,6913.49 lbs (est.)
2323,Nitrogen dioxide,0,865.75 lbs (est.)
2324,Nitrogen oxide,0,2597.26 lbs (est.)
2325,VOC GAS MIXTURE,0,563.7 lbs (est.)
2326,Hydrogen Sulfide,0,2.0 lbs (est.)
2327,Octane,0,2580.0 lbs (est.)
2328,Toluene,0,312.0 lbs (est.)
2329,Carbon Monoxide,0,231.0 lbs (est.)
2330,Hydrogen Sulfide,0,45.0 lbs (est.)
2331,NOX,0,116.0 lbs (est.)
2332,Non-Methane Non-Ethane Natural Gas,0,273.0 lbs (est.)
2333,Sulfur dioxide,0,4111.0 lbs (est.)
2334,Hydrogen Sulfide,0,698.5 lbs (est.)
2335,VOC,0,11892.6 lbs (est.)
2336,Hydrogen Sulfide,0,138.7 lbs (est.)
2337,Carbon Monoxide,0,1000.0 lbs (est.)
2338,Hydrogen Sulfide,0,10.0 lbs (est.)
2339,NOX,0,117.0 lbs (est.)
2340,Non-Methane Non-Ethane Natural Gas,0,881.0 lbs (est.)
2341,Sulfur dioxide,0,927.0 lbs (est.)
2342,Benzene,0,70.78 lbs (est.)
2343,Cumene,0,1.91 lbs (est.)
2344,Ethylbenzene,0,36.62 lbs (est.)
2345,Other VOCs,0,18.84 lbs (est.)
2346,Paraffins,0,508.57 lbs (est.)
2347,Toluene,0,185.44 lbs (est.)
2348,"Xylene, m-",0,87.58 lbs (est.)
2349,"Xylene, o-",0,44.63 lbs (est.)
2350,"Xylene, p-",0,38.63 lbs (est.)
2351,Carbon Monoxide,0,129.3 lbs (est.)
2352,Hydrogen Sulfide,0,33.67 lbs (est.)
2353,NATURAL GAS,0,115.01 lbs (est.)
2354,Nitrogen Oxides,0,15.08 lbs (est.)
2355,Sulfur dioxide,0,3164.61 lbs (est.)
2356,"Butane, N-",5000.0 lbs,5988.0 lbs (est.)
